img_path,question,true_answer,predicted_answer
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/a5457207.jpg,What is the case made of?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d593a583.jpg,What is the mat's primary color?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/012a0c8b.jpg,What shape is the main design?,tail,fish
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7ab9d896.jpg,How many tiers does the shelf have?,two,three
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e0cfa227.jpg,What is the rug's primary pattern?,lattice,geometric
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d7e4429c.jpg,What is the main color of the case?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/18c4e82d.jpg,What is the toe style?,round,round
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/a5671995.jpg,What material forms the number?,chain,metal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/092bba5c.jpg,What is the primary color of the case?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5836f4d7.jpg,What color is the heart?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/a5457207.jpg,What word is repeatedly printed?,love,love
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/9fbb303e.jpg,What word is on the case?,meow,meow
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1bb9db47.jpg,What is the main feature of the background?,lake,mountain
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/79bba7f7.jpg,What color is the prominent horizontal stripe?,red,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/a9b1ffcf.jpg,What color are the shoes?,white,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/68773733.jpg,What color are the roses?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4b187177.jpg,What is the main color of the phone case?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/862288db.jpg,What material does the case imitate?,wood,wood
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6aec12d2.jpg,What is the color of the stripe?,brown,brown
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/448b7535.jpg,What color is the heart?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/43242fdf.jpg,What is the case's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1ff9ea0b.jpg,What is the shoe's closure type?,slipon,slip on
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6b1d00e9.jpg,What is the overall shape of the case?,rectangle,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f6898297.jpg,What is the case's primary color scheme?,multicolor,multicolor
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/21ae41a0.jpg,What is the background color?,blue,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/8bf27dd9.jpg,What color is the puppy?,white,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3710d9bd.jpg,What material appears to be used for the bed?,fabric,cotton
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d5b4c093.jpg,What is depicted on the case?,silhouette,woman
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1f6ae7f3.jpg,What is the pattern on the boxes?,teal,geometric
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ea1fdf36.jpg,What is the finish of the nightstand?,java,dark
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3703a4f6.jpg,What is the background color?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/c63e0d3a.jpg,What is the shape of the filters?,cylindrical,round
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/627dbf59.jpg,What is the main image on the phone case?,kitten,cat
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4648a35a.jpg,What is the container type?,bottle,jar
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/9e016808.jpg,What is the case material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ff6b9c86.jpg,What color is the background?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7ada5fb2.jpg,What is depicted on the case?,leaves,leaves
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d2a07835.jpg,What shape is the dominant design element?,swirl,swirl
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/99bf15a7.jpg,What is depicted on the lower right?,lighthouse,carrots
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/99506c92.jpg,What is the bed's style?,double,modern
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0b4508da.jpg,What is the case's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/8cd54e1f.jpg,What word is printed on the case?,meow,meow
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2aa48a81.jpg,What is the plug type?,us,usb
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1e4e0836.jpg,What is the metal color?,white,silver
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1755cea0.jpg,What is the shape of the box?,cube,rectangular
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0f409daf.jpg,What are the boy and girl riding in?,bucket,bucket
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/140bb0e5.jpg,What is the brand name?,wag,wolf
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5e695059.jpg,What is the handle's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/54d51b6b.jpg,What is the length of the pants?,capri,long
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/72bca9c8.jpg,What animal is depicted?,tiger,tiger
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2264eb4a.jpg,What is the main subject of the phone case design?,motorcycle,motorcycle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/cebe3e4f.jpg,What is the shape of the container?,jar,round
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6596623a.jpg,What color is the stand?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7c0aac5d.jpg,What is the primary color of the text?,black,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/9a5cf42a.jpg,What material is the case made of?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f6898297.jpg,What is the overall shape of the item?,rectangular,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/304d0791.jpg,What is the primary color of the design?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5d570acf.jpg,What is the main color of the bag?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/31cc48b9.jpg,What is the main color of the motorcycle?,grey,silver
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2755facc.jpg,What color is the shoe?,white,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/04cd5536.jpg,What type of closure does it have?,laceup,slip on
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5c590032.jpg,What color is the background?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/c2cbacfa.jpg,What is the case material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7c14cdbe.jpg,What shape is the case?,rectangular,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/dd4aeebd.jpg,What is the color of the shoe?,tan,tan
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/719a7e26.jpg,What is the primary color of the shoe?,grey,gray
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e013d65b.jpg,What word is prominently displayed?,love,love
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5aedf68b.jpg,What is the sheet's style?,fitted,flat
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/04c2bafc.jpg,What is the main color on the case?,blue,teal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2fdd58c4.jpg,What material is the case?,silicon,silicon
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b00f01fb.jpg,What is the primary color of the phone case's border?,black,purple
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6b1d2e82.jpg,What is the primary background color of the case?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f883b7f6.jpg,How many shelves are visible?,two,two
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/bb2d94ad.jpg,What is the overall shape of the case?,rectangular,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b8ff4566.jpg,How many hooks are there?,four,six
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0d5c21a0.jpg,What color is the envelope?,tan,yellow
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ef018d0d.jpg,What's the case material?,silicon,silicon
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6778d59c.jpg,What color is prominent near the top?,green,green
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6f0b6c4f.jpg,What is the shape of the shelf?,rectangular,rectangular
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/a5739094.jpg,What is the metal color of the ring?,pink,gold
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d87d5753.jpg,What shapes are on the case?,stars,stars
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e5b41fc3.jpg,What shapes are on the case?,hearts,hearts
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/32664651.jpg,What's depicted on the case?,crown,crown
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/40f2faff.jpg,How many pillowcases are shown?,two,four
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/270bf734.jpg,What is the color of the pickles?,green,yellow
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/22bcafec.jpg,What is the background color?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e1b7c85e.jpg,What is the overall shape of the item?,rectangular,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f46657c5.jpg,What color is prominently featured besides yellow?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/14183f03.jpg,What is the dominant color?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ef18750e.jpg,What is the color of the boxes?,brown,brown
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/89b03e6e.jpg,What color is the tree?,black,brown
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4b9d5c22.jpg,What is the overall color of the deadbolt?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d492fd4a.jpg,What is the pattern on the case?,feather,peacock
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b5469479.jpg,What is the main color of the central design element?,purple,purple
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/fb6d0552.jpg,What color is prominent at the bottom?,teal,orange
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b66aad79.jpg,What is the pillow's texture?,fur,soft
